name1,name2,sub,
亞洲大學,視覺傳達設計學系,國、英,
亞洲大學,創意商品設計學系,國、社,
亞洲大學,時尚設計學系時尚服裝設計組,國、英,
亞洲大學,時尚設計學系服飾創意設計組,國、社,
亞洲大學,室內設計學系商業空間組,英、社,
亞洲大學,室內設計學系住宅空間組,國、英,
亞洲大學,室內設計學系智慧空間組,社,
東海大學,中國文學系,國、社,
東海大學,外國語文學系,*國、英,
東海大學,歷史學系,*國、*英、社,
東海大學,日本語言文化學系,國、英、*社,
東海大學,哲學系,國、英、社,
東海大學,應用物理學系,國、英、數A,
東海大學,化學系化學組,英、自,
東海大學,化學系化學生物組,英、自,
東海大學,生命科學系生物醫學組,*國、英、自,
東海大學,生命科學系生態暨生物多樣性組,*國、英、自,
東海大學,應用數學系,國、英、數A,
東海大學,化學工程與材料工程學系(製程及能源工程組),英、數A、*自,
東海大學,化學工程與材料工程學系(材料工程組),*英、數A、自,
東海大學,化學工程與材料工程學系(生化工程組),英、數A、自,
東海大學,工業工程與經營資訊學系(智慧設計與生產),*國、英、數A,
東海大學,工業工程與經營資訊學系(智慧經營與管理),*國、英、數A,
東海大學,環境科學與工程學系,*國、英、數A、自,
東海大學,資訊工程學系(資電工程組),英、數A、自,
